airport_code,airport_name,month,year,num_of_flights_total,num_of_delays_carrier,num_of_delays_late_aircraft,num_of_delays_nas,num_of_delays_security,num_of_delays_weather,num_of_delays_total,minutes_delayed_carrier,minutes_delayed_late_aircraft,minutes_delayed_nas,minutes_delayed_security,minutes_delayed_weather,minutes_delayed_total
IAD,,August,2011,6621,343,503,435,1,87,1372,25587,38687,21058,64,6947,92343
ORD,"Chicago, IL: Chicago O'Hare International",August,2011,28451,1119,2068,1682,4,207,5079,90311,144821,106246,163,19945,361486
SAN,"San Diego, CA: San Diego International",August,2011,6779,392,449,170,2,27,1038,20756,24023,6736,38,2453,54006
SFO,"San Francisco, CA: San Francisco International",August,2011,13190,601,1416,1782,7,100,3907,39352,95187,105685,953,7787,248964
SLC,"Salt Lake City, UT: Salt Lake City International",August,2011,10753,374,478,197,2,25,1078,23007,25286,7229,62,1664,57248
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",September,2011,31729,969,1424,1904,2,112,4413,79143,86878,77288,125,8832,252266
DEN,"Denver, CO: Denver International",September,2011,19819,576,965,667,4,55,2267,35344,54723,20375,93,3727,114262
IAD,"Washington, DC: Washington Dulles International",September,2011,5801,290,409,564,0,31,1293,19264,30563,21255,0,2288,73370
ORD,"Chicago, IL: Chicago O'Hare International",September,2011,25661,961,1480,1702,5,84,4233,74444,84770,76960,126,7506,243806
SAN,,September,2011,6167,249,320,183,1,15,770,12924,15398,5520,34,1113,34989
SFO,"San Francisco, CA: San Francisco International",September,2011,12531,416,1020,1061,2,41,2542,24901,61998,NA,77,3045,144024
